date,usd_vnd_rate,interest_rate_state,interest_rate_market,interest_rate_spread,dxy_index,fed_rate,World_Price_USD_Ounce,World_Price_VND,Domestic_Premium
2025-07-11,26100.0,4.92,5.32,0.40000000000000036,97.8499984741211,4.5,3356.0,105604812.54,15395187.459999993
2025-07-12,26100.0,4.92,5.32,0.40000000000000036,97.8499984741211,4.5,3356.0,105604812.54,15895187.459999993
2025-07-13,26100.0,4.92,5.32,0.40000000000000036,97.8499984741211,4.5,3356.0,105604812.54,
2025-07-14,26108.0,4.92,5.32,0.40000000000000036,98.08000183105469,4.5,3351.5,105495534.83530001,
2025-07-15,26100.0,4.92,5.32,0.40000000000000036,98.62000274658203,4.5,3329.800048828125,104780366.49349733,16319633.506502673
2025-07-16,26120.0,4.92,5.32,0.40000000000000036,98.38999938964844,4.5,3352.5,105575515.245,15024484.754999995
2025-07-17,26140.0,4.92,5.32,0.40000000000000036,98.7300033569336,4.5,3340.10009765625,105265562.58680421,
2025-07-18,26135.0,4.92,5.32,0.40000000000000036,98.4800033569336,4.5,3353.0,105651899.20075001,15348100.799249992
2025-07-19,26135.0,4.92,5.32,0.40000000000000036,98.4800033569336,4.5,3353.0,105651899.20075001,15548100.799249992
2025-07-20,26135.0,4.92,5.32,0.40000000000000036,98.4800033569336,4.5,3353.0,105651899.20075001,
2025-07-21,26140.0,4.92,5.32,0.40000000000000036,97.8499984741211,4.5,3401.89990234375,107213226.1351958,14286773.864804193
2025-07-22,26130.0,4.92,5.32,0.40000000000000036,97.38999938964844,4.5,3439.199951171875,108347298.23413661,13652701.765863389
2025-07-23,26120.0,4.92,5.32,0.40000000000000036,97.20999908447266,4.5,3394.10009765625,106885567.96514942,15814432.034850582
2025-07-24,26120.0,4.92,5.32,0.40000000000000036,97.37999725341797,4.5,3371.0,106158109.43800001,15841890.561999992
2025-07-25,26110.0,4.92,5.32,0.40000000000000036,97.6500015258789,4.5,3334.0,104952724.68100001,
2025-07-26,26110.0,4.92,5.32,0.40000000000000036,97.6500015258789,4.5,3334.0,104952724.68100001,16147275.31899999
2025-07-27,26110.0,4.92,5.32,0.40000000000000036,97.6500015258789,4.5,3334.0,104952724.68100001,
2025-07-28,26120.0,4.92,5.32,0.40000000000000036,98.66000366210938,4.5,3309.10009765625,104208783.83514942,
2025-07-29,26165.0,4.92,5.32,0.40000000000000036,98.91000366210938,4.5,3323.39990234375,104839415.81900233,16160584.18099767
2025-07-30,26195.0,4.92,5.32,0.40000000000000036,99.94000244140625,4.5,3295.800048828125,104087962.90973994,17112037.09026006
